product_id,dozwolone_powierzchnie,odradzane_powierzchnie,metoda_mycia,zgodnosc_i_certyfikaty,ostrzezenia_bhp,odczyn_ph
1,"[""wszystkie powierzchnie"", ""tworzywa sztuczne"", ""meble"", ""blaty"", ""okapy"", ""metal"", ""kontakt z żywnością"", ""szkło""]",[],"[""ręczne"", ""natryskowe""]",[],"[""spłukać wodą"", ""spłukać i osuszyć""]",
2,"[""szkło"", ""gładkie powierzchnie"", ""porcelana"", ""tworzywa sztuczne"", ""stal nierdzewna"", ""glazura"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na alkohol"", ""rozgrzane powierzchnie""]","[""ręczne"", ""natryskowe"", ""pianowe""]","[""ifra"", ""rspo""]","[""unikać alkoholu"", ""unikać gorąca"", ""wykonać próbę wstępną"", ""karta charakterystyki""]",
3,"[""blaty"", ""podłogi"", ""ściany"", ""naczynia"", ""garnki"", ""blachy"", ""narzędzia"", ""odzież robocza""]","[""aluminium"", ""miedź"", ""powierzchnie lakierowane"", ""powierzchnie wrażliwe na zasady""]","[""pianowe"", ""ręczne""]",[],"[""dobrać stężenie"", ""wykonać próbę wstępną""]",
4,"[""powierzchnie kuchenne"", ""urządzenia kuchenne"", ""akcesoria kuchenne"", ""meble"", ""okapy"", ""stoły"", ""garnki"", ""naczynia"", ""zatłuszczone powierzchnie""]",[],[],"[""ifra"", ""rspo"", ""bez problematycznych składników""]",[],
5,"[""grille"", ""piekarniki"", ""piece"", ""urządzenia do kebabów"", ""okapy"", ""szyby kominkowe"", ""patelnie"", ""garnki"", ""kuchenki"", ""kominki""]","[""aluminium"", ""miedź"", ""powierzchnie lakierowane"", ""piekarniki samoczyszczące""]","[""pianowe"", ""ręczne"", ""natryskowe""]","[""haccp"", ""rspo""]",[],
6,"[""kostka brukowa"", ""beton"", ""kamień"", ""powierzchnie zewnętrzne"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na zasady"", ""powierzchnie lakierowane"", ""aluminium"", ""miedź""]","[""ręczne"", ""ciśnieniowe""]","[""ifra"", ""rspo""]","[""unikać zasad""]",zasadowy
7,"[""szkło"", ""porcelana"", ""ceramika"", ""stal nierdzewna"", ""aluminium"", ""tworzywa sztuczne"", ""wszystkie powierzchnie"", ""naczynia""]",[],"[""ręczne"", ""zanurzeniowe""]",[],"[""spłukać wodą""]",
8,"[""podłogi"", ""zmywalne powierzchnie"", ""ściany"", ""sufity"", ""powierzchnie ponadpodłogowe""]","[""materiały wrażliwe na wodę""]","[""ręczne"", ""pianowe""]","[""ifra"", ""rspo""]","[""unikać wody""]",neutralny
9,"[""podłogi"", ""zmywalne powierzchnie"", ""powierzchnie błyszczące"", ""powierzchnie szkliste""]","[""materiały wrażliwe na wodę"", ""powierzchnie wrażliwe na alkohol"", ""powierzchnie zabezpieczone polimerem""]","[""maszynowe"", ""ręczne""]","[""ifra"", ""rspo"", ""ekologiczny""]","[""wykonać próbę wstępną"", ""temperatura wody""]",
10,"[""łazienki"", ""toalety"", ""powierzchnie sanitarne"", ""kabiny prysznicowe"", ""wanny"", ""brodziki"", ""umywalki"", ""pisuary"", ""armatura"", ""fugi"", ""podłogi"", ""powierzchnie ponadpodłogowe""]","[""aluminium"", ""miedź"", ""mosiądz"", ""powierzchnie wrażliwe na kwasy"", ""nietrwałe kolory""]","[""ręczne"", ""pianowe"", ""natryskowe""]","[""ifra"", ""rspo""]","[""spłukać wodą"", ""unikać metali""]",
