value,column,description
wszystkie powierzchnie,dozwolone_powierzchnie,"Określenie oznacza szerokie zastosowanie preparatu na wielu typach materiałów spotykanych w obiekcie. Mimo tego warto sprawdzić etykietę i wykonać próbę w mało widocznym miejscu, zwłaszcza na powierzchniach delikatnych."
tworzywa sztuczne,dozwolone_powierzchnie,"Materiały takie jak plastik, PVC czy laminaty, często używane w wyposażeniu, pojemnikach i elementach urządzeń. Wymagają środków, które nie matowią, nie odbarwiają i nie powodują pękania powierzchni."
meble,dozwolone_powierzchnie,"Powierzchnie wyposażenia biur, zapleczy i pomieszczeń socjalnych, zwykle wykonane z laminatu, drewna, metalu lub tworzyw. Przy czyszczeniu ważne jest unikanie nadmiaru wody i agresywnych preparatów, które mogą uszkodzić wykończenie."
blaty,dozwolone_powierzchnie,"Powierzchnie robocze w kuchniach, laboratoriach, biurach i zapleczach, narażone na zabrudzenia oraz częsty kontakt dłoni. Wymagają skutecznego mycia, a w strefach żywności także preparatów dopuszczonych do takich zastosowań."
okapy,dozwolone_powierzchnie,"Elementy wentylacji kuchennej zbierające tłuszcz, parę i osady z gotowania. Do ich czyszczenia zwykle potrzebne są odtłuszczacze, które radzą sobie z tłustymi zabrudzeniami, ale nie niszczą metalu."
metal,dozwolone_powierzchnie,"Powierzchnie wykonane z metali, np. stali, aluminium lub chromu, spotykane w sprzęcie i wyposażeniu. Wymagają środków ograniczających korozję, przebarwienia i matowienie."
kontakt z żywnością,dozwolone_powierzchnie,"Dotyczy powierzchni, które mogą mieć bezpośredni kontakt z produktami spożywczymi, np. blatów, stołów, naczyń lub sprzętu kuchennego. Preparat powinien być przeznaczony do takich zastosowań i zwykle wymaga dokładnego spłukania zgodnie z instrukcją."
szkło,dozwolone_powierzchnie,"Gładki, twardy materiał stosowany w szybach, lustrach, witrynach i osłonach. Wymaga środków, które nie zostawiają smug, zacieków ani osadów."
gładkie powierzchnie,dozwolone_powierzchnie,"Powierzchnie o małej porowatości, takie jak szkło, stal, glazura czy laminaty, z których zabrudzenia zwykle łatwo się usuwa. Ważne jest dobranie preparatu, który równomiernie się rozprowadza i nie pozostawia smug."
porcelana,dozwolone_powierzchnie,"Twardy, szkliwiony materiał używany m.in. w ceramice sanitarnej i naczyniach. Przy czyszczeniu należy unikać zbyt szorstkich narzędzi i środków mogących porysować szkliwo."
