product_id,dozwolone_powierzchnie,odradzane_powierzchnie,metoda_mycia,zgodnosc_i_certyfikaty,ostrzezenia_bhp,odczyn_ph
1,"[""wszystkie powierzchnie"", ""tworzywa sztuczne"", ""meble"", ""blaty"", ""okapy"", ""metal"", ""kontakt z żywnością"", ""szkło""]",[],"[""ręczne"", ""natryskowe""]",[],"[""spłukać wodą pitną"", ""wytrzeć szkło do sucha""]",
2,"[""szkło"", ""gładkie powierzchnie"", ""porcelana"", ""tworzywa sztuczne"", ""stal nierdzewna"", ""glazura"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na alkohol"", ""rozgrzane powierzchnie""]","[""ręczne"", ""natryskowe"", ""pianowe""]","[""IFRA"", ""RSPO""]","[""unikać alkoholu"", ""unikać gorąca i słońca"", ""wykonać próbę wstępną"", ""karta charakterystyki""]",
3,"[""blaty"", ""podłogi"", ""ściany"", ""naczynia"", ""garnki"", ""blachy"", ""narzędzia"", ""odzież robocza""]","[""aluminium"", ""miedź"", ""powierzchnie malowane"", ""powierzchnie lakierowane"", ""powierzchnie wrażliwe na zasady""]","[""pianowe"", ""ręczne""]",[],"[""dobrać stężenie"", ""wykonać próbę wstępną""]",
4,"[""powierzchnie kuchenne"", ""urządzenia kuchenne"", ""akcesoria kuchenne"", ""meble"", ""okapy"", ""stoły"", ""garnki"", ""naczynia"", ""zatłuszczone powierzchnie""]",[],[],"[""IFRA"", ""RSPO"", ""bez EDTA/NTA/SLS/fosforanów/dodecylobenzenosulfonianów""]",[],
5,"[""grille"", ""piekarniki"", ""piece"", ""urządzenia do kebabów"", ""okapy"", ""szyby kominkowe"", ""patelnie"", ""garnki"", ""kuchenki"", ""kominki""]","[""aluminium"", ""miedź"", ""powierzchnie malowane"", ""powierzchnie lakierowane"", ""piekarniki z automatycznym myciem""]","[""pianowe"", ""ręczne"", ""natryskowe""]","[""HACCP"", ""RSPO""]",[],
6,"[""kostka brukowa"", ""beton"", ""kamień"", ""powierzchnie zewnętrzne"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na zasady"", ""powierzchnie malowane"", ""powierzchnie lakierowane"", ""aluminium"", ""miedź""]","[""ręczne"", ""ciśnieniowe"", ""szorowanie""]","[""IFRA"", ""RSPO""]","[""unikać zasad""]",zasadowy
7,"[""szkło"", ""porcelana"", ""ceramika"", ""stal nierdzewna"", ""aluminium"", ""tworzywa sztuczne"", ""wszystkie powierzchnie"", ""naczynia"", ""naczynia emaliowane"", ""naczynia stalowe"", ""naczynia aluminiowe""]",[],"[""ręczne"", ""zanurzeniowe""]",[],"[""spłukać naczynia wodą pitną""]",
8,"[""podłogi"", ""zmywalne powierzchnie"", ""ściany"", ""sufity"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na wodę""]","[""ręczne"", ""pianowe""]","[""IFRA"", ""RSPO""]","[""unikać wody""]",neutralny
9,"[""podłogi"", ""zmywalne powierzchnie"", ""powierzchnie błyszczące"", ""powierzchnie szkliste""]","[""powierzchnie wrażliwe na wodę"", ""powierzchnie wrażliwe na alkohol"", ""powierzchnie zabezpieczone polimerem""]","[""maszynowe"", ""ręczne""]","[""IFRA"", ""RSPO"", ""ekologiczny""]","[""wykonać próbę wstępną"", ""temperatura wody 20–30°C""]",
10,"[""łazienki"", ""toalety"", ""powierzchnie sanitarne"", ""kabiny prysznicowe"", ""wanny"", ""brodziki"", ""umywalki"", ""pisuary"", ""armatura"", ""fugi"", ""podłogi"", ""powierzchnie ponadpodłogowe""]","[""aluminium"", ""miedź"", ""mosiądz"", ""powierzchnie wrażliwe na kwasy"", ""fugi o nietrwałym kolorze""]","[""ręczne"", ""pianowe"", ""natryskowe""]","[""IFRA"", ""RSPO""]","[""spłukać po działaniu"", ""unikać kwasów i metali""]",
