value,column,description
akcesoria kuchenne,dozwolone_powierzchnie,"Drobne wyposażenie kuchni, np. deski, pojemniki, narzędzia i elementy pomocnicze używane przy przygotowaniu żywności. Należy dobierać środki, które nie zostawiają szkodliwych pozostałości i są odpowiednie do materiału akcesoriów."
akcesoria skórzane,dozwolone_powierzchnie,"Przedmioty ze skóry naturalnej lub syntetycznej, takie jak torby, paski, portfele czy etui. Należy czyścić je delikatnie i unikać nadmiaru wody oraz agresywnych detergentów, aby nie odbarwić ani nie przesuszyć materiału."
aluminium,dozwolone_powierzchnie,"Lekki metal używany w elementach urządzeń, okapach, profilach i akcesoriach kuchennych. Jest wrażliwy na silnie zasadowe i kwaśne środki, które mogą powodować matowienie, przebarwienia lub korozję."
aluminium polerowane,dozwolone_powierzchnie,"Gładko wykończone aluminium o błyszczącej, dekoracyjnej powierzchni. Jest wrażliwe na silne kwasy, zasady i środki ścierne, które mogą powodować matowienie, plamy lub zarysowania."
armatura,dozwolone_powierzchnie,"Baterie, krany, słuchawki prysznicowe i inne elementy metalowe, zwykle chromowane lub ze stali nierdzewnej. Wymagają środków usuwających kamień i ślady wody bez uszkadzania powłok dekoracyjnych."
autobusy,dozwolone_powierzchnie,"Pojazdy komunikacji zbiorowej z dużymi powierzchniami zewnętrznymi i wnętrzem narażonym na intensywne użytkowanie. Preparaty muszą usuwać brud komunikacyjny bez uszkadzania lakieru, szyb, tworzyw i elementów wyposażenia."
balustrady,dozwolone_powierzchnie,"Balustrady wykonuje się ze stali, aluminium, szkła, drewna lub tworzyw i są często dotykane rękami. Wymagają regularnego mycia oraz dezynfekcji środkami, które nie niszczą powłok ani nie zostawiają śliskiego filmu."
bemary,dozwolone_powierzchnie,"Podgrzewacze gastronomiczne do utrzymywania temperatury potraw, wykonane najczęściej ze stali nierdzewnej. Przy czyszczeniu trzeba usuwać osady z wody, tłuszcz i resztki jedzenia, unikając środków mogących matowić lub korodować stal."
beton,dozwolone_powierzchnie,"Porowaty materiał mineralny stosowany na posadzkach, podjazdach i powierzchniach technicznych. Łatwo wchłania oleje oraz zabrudzenia, dlatego przy czyszczeniu ważny jest dobór środka do rodzaju plamy i zabezpieczenie przed zbyt agresywną chemią."
bez kontaktu z żywnością,dozwolone_powierzchnie,"Powierzchnie lub zastosowania, w których czyszczony element nie styka się bezpośrednio z jedzeniem, np. podłogi, ściany, obudowy urządzeń czy zaplecze techniczne. Takie oznaczenie pomaga odróżnić produkty od środków przeznaczonych do naczyń lub blatów roboczych w kontakcie z żywnością."
blachy,dozwolone_powierzchnie,"Metalowe tace i płyty do pieczenia, na których często odkłada się przypalony tłuszcz i resztki żywności. Do czyszczenia potrzebne są preparaty odtłuszczające, ale bezpieczne dla powłok i powierzchni mających kontakt z jedzeniem."
blaty,dozwolone_powierzchnie,"Powierzchnie robocze w kuchniach, biurach lub zapleczach, często narażone na zabrudzenia, tłuszcz i kontakt z żywnością. Powinny być czyszczone preparatami skutecznymi, ale bezpiecznymi dla materiału i łatwymi do spłukania, jeśli jest to wymagane."
