product_id,product_name,title,content_encoded,short_description,right_description,technical_sheet,categories
1,Zurada Lśniąca Pianka,Pianka do powierzchni,"Smart Foam to aktywna pianka do czyszczenia ręcznego i natryskowego. Skutecznie usuwa tłuszcz, olej, osady i trudne zabrudzenia z wielu rodzajów powierzchni, takich jak plastik, meble, blaty, okapy czy elementy metalowe. Po zastosowaniu na powierzchniach mających kontakt z żywnością należy spłukać je czystą wodą pitną. Na szkle może pozostawiać smugi, dlatego po użyciu zaleca się przetarcie powierzchni do sucha.",Inteligentna aktywna pianka czyszcząco-odtłuszczająca do wszystkich rodzajów powierzchni.,"Właściwości: Preparat gotowy do użycia. Uniwersalna, łagodna dla powierzchni pianka do mycia wszystkich rodzajów powierzchni i przedmiotów. Skutecznie usuwa ciężkie zabrudzenia. Rozpuszcza tłuszcz, olej, smary oraz zżółknięty brud. Nie zawiera żrących kwasów, alkaliów, wodorotlenków. Pozostawia świeży cytrynowy zapach.",,"horeca-hotele, szkoly, firmy-sprzatajace, higiena-powierzchni-firmy-sprzatajace, odtluszczanie-catering, higiena-urzadzen, higiena-urzadzen-instytucje, higiena-powierzchni-instytucje, higiena-urzadzen-firmy-sprzatajace, higiena-powierzchni-catering, odtluszczanie-instytucje, odtluszczanie-firmy-sprzatajace"
2,Zurada Szklany Blask,Płyn do szyb i luster,"Środek do ręcznego i natryskowego mycia szyb, luster, przeszkleń, szklanych witryn oraz innych gładkich powierzchni. Skutecznie usuwa zabrudzenia z porcelany, plastiku, stali nierdzewnej i glazury, pozostawiając czyszczoną powierzchnię bez smug. Nie zaleca się stosowania na powierzchniach wrażliwych na działanie alkoholu oraz na rozgrzanych elementach lub w pełnym słońcu. Przed pierwszym użyciem warto wykonać próbę w niewidocznym miejscu i zapoznać się z kartą charakterystyki produktu.","Płyn z alkoholem do mycia szyb, luster oraz innych szklanych elementów.","Właściwości: Preparat gotowy do użycia. Idealny do mycia wszystkich rodzajów szyb, luster, witryn szklanych oraz glazury. Usuwa najoporniejsze zabrudzenia np. z kurzu, pyłków oraz soków z drzew i roślin. Pozostawia lśniące powierzchnie bez smug. Ma przyjemny zapach.","gotowy do użycia preparat w formie pianki do czyszczenia powierzchni ponadpodłogowych. Doskonały do codziennego utrzymania czystości. Można regularnie stosować bez obawy uszkodzenia powierzchni. Pozostawia lśniące powierzchnie bez smug. Nie pozostawia tłustej powłoki. Bezpieczny dla skóry rąk. Ma przyjemny zapach, a kompozycja zapachowa jest zgodna ze standardami IFRA. Zawiera składniki m.in. pochodzenia roślinnego w tym certyfikowany olej palmowy zgodny z RSPO.","mycie-szyb-i-luster-instytucje, horeca-hotele, szkoly, firmy-sprzatajace, higiena-powierzchni-firmy-sprzatajace, mycie-szyb-i-luster-firmy-sprzatajace, higiena-powierzchni-instytucje, mycie-szyb-i-luster-catering, higiena-powierzchni-catering"
3,Zurada Tłuszcz Stop,Płyn do odtłuszczania,"Skoncentrowany preparat pianowy do ręcznego mycia i usuwania tłustych zabrudzeń. Sprawdza się przy czyszczeniu blatów kuchennych, podłóg, ścian, naczyń, garnków, blach, narzędzi oraz odzieży roboczej. Nie zaleca się stosowania na aluminium, miedzi, powierzchniach malowanych i lakierowanych oraz na materiałach wrażliwych na działanie alkaliów. Przed użyciem należy dobrać stężenie do stopnia zabrudzenia i wykonać próbę w mało widocznym miejscu.","Skoncentrowany, pieniący preparat do mycia i usuwania tłustych zabrudzeń.","Właściwości: Koncentrat. Rozpuszcza uporczywe zabrudzenia. Skutecznie usuwa zabrudzenia: ropopochodne, oleje, smary oraz tłuszcze kuchenne. Polecany do stosowania w kuchniach, warsztatach i halach produkcyjnych.",,"horeca-hotele, szkoly, firmy-sprzatajace, odtluszczanie-catering, odtluszczanie-instytucje, odtluszczanie-firmy-sprzatajace"
4,Zurada Kuchnia Czysta,Płyn odtłuszczający do kuchni,"Skuteczny płyn do odtłuszczania powierzchni kuchennych, urządzeń oraz akcesoriów. Usuwa tłuszcze roślinne i zwierzęce oraz inne uporczywe zabrudzenia z mebli, okapów, stołów, garnków i naczyń. Sprawdza się także przy czyszczeniu zatłuszczonego kurzu, zaolejonych powierzchni i zabrudzeń powstałych po dymie tytoniowym. Produkt nie zawiera EDTA, NTA, SLS, fosforanów ani dodecylobenzenosulfonianów, a jego wygodna formuła ułatwia codzienne stosowanie.","Ekologiczny, gotowy do użycia płyn do odtłuszczania powierzchni i urządzeń kuchennych.","Właściwości: Polecany do wszystkich zanieczyszczeń powstających w domu, garażu, placówkach gastronomicznych, warsztatach samochodowych, hotelach, biurach. Usuwa tłuszcze roślinne, zwierzęce oraz oleje. Łagodny dla skóry rąk i powierzchni, a zarazem niezwykle skuteczny w usuwaniu brudu. Ma przyjemny zapach, a kompozycja zapachowa jest zgodna ze standardami IFRA. Zawiera składniki m.in. pochodzenia roślinnego w tym certyfikowany olej palmowy zgodny z RSPO.","gotowy do użytku płyn do odtłuszczania powierzchni i urządzeń. Polecany do wszystkich zanieczyszczeń powstających w domu, garażu, placówkach gastronomicznych, warsztatach samochodowych, hotelach, biurach. Usuwa tłuszcze roślinne, zwierzęce oraz oleje. Łagodny dla skóry rąk i powierzchni, a zarazem niezwykle skuteczny w usuwaniu brudu. Ma przyjemny zapach, a kompozycja zapachowa jest zgodna ze standardami IFRA. Zawiera składniki m.in. pochodzenia roślinnego w tym certyfikowany olej palmowy zgodny z RSPO.","ekologiczne-produkty-eu-ecolabel, odtluszczanie"
5,Zurada Piana Moc,Pianka do piekarników,"Pianka do piekarników przeznaczona do pianowego, ręcznego i natryskowego czyszczenia trudnych zabrudzeń. Sprawdza się przy myciu grillów, piekarników, pieców, urządzeń do kebabów, rożen, rusztów, patelni, garnków, kuchenek, okapów oraz szyb kominkowych. Nie zaleca się stosowania na aluminium, miedź oraz powierzchnie malowane i lakierowane, a także w piecach i piekarnikach z funkcją automatycznego mycia parą. Preparat najlepiej nanosić na ciepłą powierzchnię o temperaturze 40–70°C, pozostawić na ok. 5 minut, a następnie usunąć rozpuszczone zabrudzenia.","Pianka do mycia grillów, piekarników, rusztów, pieców, urządzeń do kebabów, okapów i szyb kominkowych.","Właściwości: Preparat gotowy do użycia. Usuwa przypalenia bez konieczności szorowania. Skutecznie rozpuszcza przypalone białka, tłuszcze oraz sadzę. Działa bez szorowania. Z ciepłej powierzchni tłuszcz spływa samoczynnie. Zapewnia połysk czyszczonych powierzchni. Bezzapachowy zgodnie z wymaganiami HACCP.","gotowy do użycia preparat w formie pianki do czyszczenia grillów, kuchenek, piekarników, pieców, okapów oraz kominków. Skutecznie usuwa: bardzo silnie przypalone białka, tłuszcze roślinne i zwierzęce, resztki jedzenia oraz sadzę. Preparat samodziałający, działa bez szorowania. Można stosować na zimną lub ciepłą powierzchnię. Wydobywa naturalny połysk z czyszczonych powierzchni, garnków, patelni i urządzeń. Zawiera składniki m.in. pochodzenia roślinnego w tym certyfikowany olej palmowy zgodny z RSPO. Bezzapachowy zgodnie z zasadami systemu HACCP.","horeca-hotele, szkoly, firmy-sprzatajace, higiena-piecow-catering, higiena-urzadzen, higiena-urzadzen-instytucje, higiena-powierzchni-instytucje, higiena-urzadzen-firmy-sprzatajace, higiena-piecow-firmy-sprzatajace, higiena-piecow-instytucje"
6,Zurada Bruk Moc,Płyn do kostki i betonu,"Zurada Bruk Moc to płyn przeznaczony do czyszczenia kostki brukowej, betonu oraz powierzchni kamiennych. Sprawdza się przy myciu ręcznym i ciśnieniowym, usuwając typowe zabrudzenia eksploatacyjne z powierzchni zewnętrznych. Preparat nanieść na czyszczoną powierzchnię, pozostawić na krótki czas, a następnie wyszorować lub spłukać wodą pod ciśnieniem. Nie stosować na powierzchniach wrażliwych na środki zasadowe, malowanych, lakierowanych oraz na aluminium i miedzi.","Płyn do ręcznego i ciśnieniowego mycia kostki brukowej, betonu oraz kamienia.","Właściwości: Wydajny koncentrat. Doskonale myje, wnikając w głąb czyszczonych powierzchni. Skutecznie usuwa zabrudzenia ropopochodne tj.: smary, oleje, paliwo. Przywraca naturalny kolor czyszczonym powierzchniom.","gotowy do użycia preparat w formie pianki do czyszczenia powierzchni ponadpodłogowych. Doskonały do codziennego utrzymania czystości. Można regularnie stosować bez obawy uszkodzenia powierzchni. Pozostawia lśniące powierzchnie bez smug. Nie pozostawia tłustej powłoki. Bezpieczny dla skóry rąk. Ma przyjemny zapach, a kompozycja zapachowa jest zgodna ze standardami IFRA. Zawiera składniki m.in. pochodzenia roślinnego w tym certyfikowany olej palmowy zgodny z RSPO.",mycie-cisnieniowe
7,Zurada Naczynia Generic Cleaning,Płyn do mycia naczyń ręcznego,"Płyn do ręcznego mycia naczyń przeznaczony do codziennego użytku w gastronomii, hotelach, szkołach i firmach sprzątających. Sprawdza się przy myciu szkła, porcelany, ceramiki, stali nierdzewnej, aluminium i plastiku, także metodą zanurzeniową oraz do ręcznego mycia powierzchni. Zalecane dozowanie to 5 ml na 1 l wody; ilość środka można dostosować do stopnia zabrudzenia naczyń. Po umyciu naczynia należy dokładnie spłukać wodą zdatną do picia i pozostawić do wyschnięcia.",Płyn do ręcznego mycia naczyń o świeżym zapachu cytrusów.,"Właściwości: Koncentrat. Szybko emulguje tłuszcz oraz usuwa zaschnięte zabrudzenia spożywcze bez namaczania. Doskonale nadaje się do mycia naczyń szklanych, emaliowanych, nierdzewnych, stalowych i aluminiowych. Łatwo się spłukuje i nie pozostawia smug oraz zacieków. Tworzy gęstą trwałą pianę. Łagodny dla skóry rąk, nie powoduje podrażnień i alergii. Zawiera tylko surowce kosmetyczne.",,"horeca-hotele, reczne-mycie-naczyn-catering, szkoly, firmy-sprzatajace, reczne-mycie-naczyn-instytucje, reczne-mycie-naczyn-firmy-sprzatajace"
8,Zurada Lśniąca Podłoga,Koncentrat do mycia podłóg,"Zurada Lśniąca Podłoga to koncentrat do ręcznego, pianowego mycia wszystkich zmywalnych powierzchni, takich jak podłogi, ściany i sufity. Skutecznie usuwa zabrudzenia, nie pozostawia smug, ma neutralny odczyn i jest łagodny dla czyszczonych powierzchni. Pozostawia intensywny, świeży zapach po sprzątaniu. Dozować 25–300 ml koncentratu na 10 litrów wody w zależności od stopnia zabrudzenia; nie stosować na powierzchnie nieodporne na działanie wody.","Pieniący, zapachowy koncentrat do ręcznego mycia podłóg i zmywalnych powierzchni.","Właściwości: Wydajny koncentrat, mający silne działanie czyszczące. Preparat do czyszczenia wszystkich zmywalnych powierzchni. Nie pozostawia smug i zacieków. Ma intensywny, długotrwały, owocowy zapach.","gotowy do użycia preparat w formie pianki do czyszczenia powierzchni ponadpodłogowych. Doskonały do codziennego utrzymania czystości. Można regularnie stosować bez obawy uszkodzenia powierzchni. Pozostawia lśniące powierzchnie bez smug. Nie pozostawia tłustej powłoki. Bezpieczny dla skóry rąk. Ma przyjemny zapach, a kompozycja zapachowa jest zgodna ze standardami IFRA. Zawiera składniki m.in. pochodzenia roślinnego w tym certyfikowany olej palmowy zgodny z RSPO.","mycie-podlog-reczne-firmy-sprzatajace, horeca-hotele, mycie-podlog-reczne-instytucje, szkoly, firmy-sprzatajace, mycie-podlog-reczne-catering"
9,Zurada Podłoga Pro,Koncentrat do mycia maszynowego,Zurada Podłoga Pro to niskopieniący koncentrat przeznaczony do bieżącego mycia maszynowego podłóg oraz innych zmywalnych powierzchni. W zależności od stopnia zabrudzenia dozować 50–300 ml preparatu na 10 litrów wody i stosować w wodzie o temperaturze 20–30°C. Nie stosować na powierzchniach nieodpornych na działanie wody lub alkoholu ani na podłogach zabezpieczonych polimerem. Przed pierwszym użyciem zaleca się sprawdzenie działania preparatu w niewidocznym miejscu.,"Zapachowy, niskopieniący koncentrat do bieżącego maszynowego mycia podłóg.","Właściwości: Wydajny koncentrat. Skutecznie usuwa bieżące zabrudzenia eksploatacyjne. Nie pozostawia smug i nie odkłada się warstwami. Idealny do mycia powierzchni mocno połyskujących oraz szklistych. Ma długotrwały, owocowy zapach.","Ekologiczny, skoncentrowany płyn do maszynowego mycia podłóg. Niskopieniący preparat do czyszczenia wszystkich rodzajów podłóg ręcznie lub maszynowo. Skutecznie usuwa codzienne, jak i mocno przywarte zabrudzenia. Ma przyjemny zapach, a kompozycja zapachowa jest zgodna ze standardami IFRA. Zawiera składniki m.in. pochodzenia roślinnego w tym certyfikowany olej palmowy zgodny z RSPO.","horeca-hotele, mycie-podlog-maszynowe-firmy-sprzatajace, mycie-podlog-maszynowe-instytucje, szkoly, firmy-sprzatajace, mycie-podlog-maszynowe-catering"
10,Zurada Sanibłysk,Pianka do sanitariatów,"Pianka do czyszczenia i odkamieniania sanitariatów przeznaczona do mycia łazienek, toalet oraz innych powierzchni sanitarnych. Nadaje się do kabin prysznicowych, wanien, brodzików, umywalek, muszli, pisuarów, armatury oraz fug. Preparat można stosować ręcznie, pianowo lub natryskowo; po krótkim czasie działania należy go spłukać wodą. Nie zaleca się używania na aluminium, miedzi, mosiądzu, powierzchniach wrażliwych na kwasy ani na fugach o nietrwałych kolorach.","Pianka czyszcząca i odkamieniająca do mycia łazienek, toalet i sanitariatów.","Właściwości: Preparat gotowy do użycia. Skutecznie usuwa: zacieki wodne, kamień, rdzę oraz osady z mydła. Doskonale czyści powierzchnie i urządzenia sanitarne, takie jak: posadzki, wanny, brodziki, kabiny prysznicowe, umywalki, muszle, pisuary oraz armaturę łazienkową. Doskonały do czyszczenia fug białych i kolorowych (patrz opis poniżej w punkcie sposób użycia). Pozostawia świeży zapach.","gotowy do użycia preparat w formie pianki do czyszczenia powierzchni ponadpodłogowych. Doskonały do codziennego utrzymania czystości. Można regularnie stosować bez obawy uszkodzenia powierzchni. Pozostawia lśniące powierzchnie bez smug. Nie pozostawia tłustej powłoki. Bezpieczny dla skóry rąk. Ma przyjemny zapach, a kompozycja zapachowa jest zgodna ze standardami IFRA. Zawiera składniki m.in. pochodzenia roślinnego w tym certyfikowany olej palmowy zgodny z RSPO.","horeca-hotele, szkoly, firmy-sprzatajace, higiena-sanitariatow-instytucje, higiena-sanitariatow-firmy-sprzatajace, higiena-toalet-instytucje, higiena-toalet-firmy-sprzatajace, higiena-sanitariatow-catering, higiena-toalet"
